steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,54.585,0,0.0026807121466845274,3.203410347616514e-05,0.05015170473094978,638.4446411132812,-1181.1611328125,1365.183349609375,0.0,0.0,0.0,1,48495,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.297013759613037,-0.0036323005333542824,0.0,0.0,0,2176.2401017104567,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1407,0.0
5,54.624,0,0.0025928616523742676,3.09845316492499e-05,0.05006367351780882,638.4446411132812,-1181.1612548828125,1408.1552734375,-3.9149999618530273,0.0,0.0,1,48499,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.297057867050171,-0.003711456200107932,0.0,0.0,0,2176.2401017104567,0.0,-0.014513879083096981,-1.0,-1.0,-0.10885408520698547,-0.31551119685173035,-0.6318687200546265,1407,0.0
6,54.666,0,0.00248720427043736,2.9721932662681046e-05,0.05006367351780882,638.4446411132812,-1181.1612548828125,1454.4324951171875,-4.545000076293945,0.0,0.0,1,48503,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.297057867050171,-0.003734762314707041,0.0,0.0,0,2176.2401017104567,0.0,-0.016764902975410223,-1.0,-1.0,-0.016882678493857384,-0.04890941083431244,-0.7106325626373291,1407,0.0
7,54.705,0,0.0024009791668504477,2.8691649687509114e-05,0.050021389753999494,638.444580078125,-1181.1612548828125,1569.231201171875,-12.059999465942383,0.0,0.2012999951839447,1,48507,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.2971479892730713,-0.0038620566483587027,0.0,0.0,0,2176.2401017104567,0.0,-0.04456412559375167,-0.5973447859287262,-1.0,-0.2084941565990448,0.8388650417327881,-0.5192760825157166,1407,0.0
8,54.744,0,0.003178665414452553,3.798443507818916e-05,0.05019398849468034,638.4447021484375,-1181.1611328125,1910.126708984375,19.709999084472656,0.0,0.43814998865127563,1,48511,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.2969439029693604,-0.0036257123574614525,0.0,0.0,0,2176.2401017104567,0.0,0.07302946830168366,-0.12362974882125854,-0.9651454463601112,0.8819519281387329,0.9869063496589661,0.0726136565208435,1407,0.0
9,54.786,0,0.0026792821008712053,3.2016325624661695e-05,0.05040887099900653,638.4448852539062,-1181.1610107421875,2487.733154296875,40.31999969482422,0.0,0.6705999970436096,1,48515,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.296757698059082,-0.0034062855411320925,0.0,0.0,0,2176.2401017104567,0.0,0.149329396430403,0.3411464989185333,-1.0,0.5722494125366211,0.9682838916778564,-0.9129672646522522,1407,0.0
10,54.825,0,0.00217210385017097,2.595546984160876e-05,0.050539185975956816,638.4449462890625,-1181.160888671875,3216.308837890625,49.095001220703125,0.0,0.8658000230789185,1,48519,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.2966222763061523,-0.003289315849542618,0.0,0.0,0,2176.2401017104567,0.0,0.1818054192699492,0.7315650880336761,-1.0,0.24357014894485474,0.8133720755577087,-0.45226600766181946,1407,0.0
11,54.864,0,0.0023501012474298477,2.80821365117621e-05,0.05066950095290711,638.4450073242188,-1181.1607666015625,4170.8779296875,58.90499496459961,0.0,1.0,1,48523,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.296485662460327,-0.0031589719001203775,0.0,0.0,0,2176.2401017104567,0.0,0.21820065239444375,1.0,-1.0,0.2729642391204834,0.6304947137832642,-0.4586380124092102,1407,0.0
12,54.906,0,0.0020720285829156637,2.4758996711207403e-05,0.05084209969358794,638.4451293945312,-1181.16064453125,5373.8974609375,66.14999389648438,0.0,1.0,1,48527,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.2963809967041016,-0.0030735896434634924,0.0,0.0,0,2176.2401017104567,0.0,0.24485538946464658,1.0,-1.0,0.19991052150726318,0.7484650611877441,-0.8008044958114624,1407,0.0
13,54.945,0,0.0019673556089401245,2.3508326004478918e-05,0.05079981592977863,638.445068359375,-1181.16064453125,6541.32421875,61.470001220703125,0.0,1.0,1,48531,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,2.296428918838501,-0.0031759056728333235,0.0,0.0,0,2176.2401017104567,0.0,0.22757385903969407,1.0,-1.0,-0.12961147725582123,0.6047759056091309,-0.16342219710350037,1407,0.0
